2025-07-07 14:56:58.285 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-07-07 14:56:58.363 [main] INFO  c.p.monitoring.logging.LoggingTest - Starting LoggingTest using Java 17 with PID 23408 (started by Admin in D:\Revino Solutions Pvt Ltd\Pulsewatch_2.0\backend\system-monitoring-service)
2025-07-07 14:56:58.364 [main] DEBUG c.p.monitoring.logging.LoggingTest - Running with Spring Boot v3.1.8, Spring v6.0.16
2025-07-07 14:56:58.365 [main] INFO  c.p.monitoring.logging.LoggingTest - No active profile set, falling back to 1 default profile: "default"
2025-07-07 14:57:00.126 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-07 14:57:00.378 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 236 ms. Found 1 JPA repository interface.
2025-07-07 14:57:00.738 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=4768f583-3562-3fcc-bb71-bbafc091fe9e
2025-07-07 14:57:01.484 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-07 14:57:01.639 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.20.Final
2025-07-07 14:57:01.644 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2025-07-07 14:57:02.181 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-07 14:57:02.215 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-07-07 14:57:02.541 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@73234691
2025-07-07 14:57:02.543 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-07-07 14:57:02.583 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-07-07 14:57:03.773 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-07 14:57:03.874 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-07 14:57:04.335 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-07-07 14:57:05.220 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-07 14:57:06.934 [main] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2025-07-07 14:57:07.038 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-07-07 14:57:07.051 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2025-07-07 14:57:07.173 [main] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2025-07-07 14:57:07.325 [main] INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2025-07-07 14:57:07.335 [main] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-07-07 14:57:07.370 [main] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
2025-07-07 14:57:07.370 [main] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2025-07-07 14:57:07.370 [main] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2025-07-07 14:57:07.370 [main] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
2025-07-07 14:57:07.370 [main] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2025-07-07 14:57:07.371 [main] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
2025-07-07 14:57:07.371 [main] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2025-07-07 14:57:07.844 [main] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2025-07-07 14:57:07.848 [main] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2025-07-07 14:57:07.852 [main] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2025-07-07 14:57:07.857 [main] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1751880427856 with initial instances count: 3
2025-07-07 14:57:07.862 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application SYSTEM-MONITORING-SERVICE with eureka with status UP
2025-07-07 14:57:07.863 [main] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1751880427863, current=UP, previous=STARTING]
2025-07-07 14:57:07.865 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_SYSTEM-MONITORING-SERVICE/DESKTOP-OCJUI3G:system-monitoring-service:8082: registering service...
2025-07-07 14:57:07.895 [main] INFO  c.p.monitoring.logging.LoggingTest - Started LoggingTest in 10.332 seconds (process running for 12.187)
2025-07-07 14:57:07.923 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_SYSTEM-MONITORING-SERVICE/DESKTOP-OCJUI3G:system-monitoring-service:8082 - registration status: 204
2025-07-07 14:57:08.634 [main] DEBUG c.p.monitoring.logging.LoggingTest - This is a DEBUG message
2025-07-07 14:57:08.635 [main] INFO  c.p.monitoring.logging.LoggingTest - This is an INFO message
2025-07-07 14:57:08.635 [main] WARN  c.p.monitoring.logging.LoggingTest - This is a WARN message
2025-07-07 14:57:08.635 [main] ERROR c.p.monitoring.logging.LoggingTest - This is an ERROR message
2025-07-07 14:57:08.658 [main] INFO  c.p.m.controller.MetricsController - Controller logger test
2025-07-07 14:57:08.659 [main] INFO  c.p.m.s.impl.MetricsServiceImpl - Service logger test
2025-07-07 14:57:08.672 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.pulsewatch.monitoring.SystemMonitoringServiceApplicationTests]: SystemMonitoringServiceApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-07-07 14:57:08.732 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.pulsewatch.monitoring.SystemMonitoringServiceApplication for test class com.pulsewatch.monitoring.SystemMonitoringServiceApplicationTests
2025-07-07 14:57:08.833 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application SYSTEM-MONITORING-SERVICE with eureka with status DOWN
2025-07-07 14:57:08.834 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1751880428834, current=DOWN, previous=UP]
2025-07-07 14:57:08.835 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_SYSTEM-MONITORING-SERVICE/DESKTOP-OCJUI3G:system-monitoring-service:8082: registering service...
2025-07-07 14:57:08.854 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_SYSTEM-MONITORING-SERVICE/DESKTOP-OCJUI3G:system-monitoring-service:8082 - registration status: 204
2025-07-07 14:57:08.854 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-07-07 14:57:08.862 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-07-07 14:57:08.881 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-07-07 14:57:08.883 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2025-07-07 14:57:11.907 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - Unregistering ...
2025-07-07 14:57:11.914 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_SYSTEM-MONITORING-SERVICE/DESKTOP-OCJUI3G:system-monitoring-service:8082 - deregister  status: 200
2025-07-07 14:57:11.919 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2025-07-07 14:57:55.409 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-07-07 14:57:55.477 [main] INFO  c.p.m.SystemMonitoringServiceApplication - Starting SystemMonitoringServiceApplication using Java 17 with PID 29280 (D:\Revino Solutions Pvt Ltd\Pulsewatch_2.0\backend\system-monitoring-service\target\classes started by Admin in D:\Revino Solutions Pvt Ltd\Pulsewatch_2.0\backend\system-monitoring-service)
2025-07-07 14:57:55.478 [main] DEBUG c.p.m.SystemMonitoringServiceApplication - Running with Spring Boot v3.1.8, Spring v6.0.16
2025-07-07 14:57:55.479 [main] INFO  c.p.m.SystemMonitoringServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-07 14:57:56.296 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-07 14:57:56.450 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 148 ms. Found 1 JPA repository interface.
2025-07-07 14:57:56.622 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=ecd50602-78bf-324f-8e49-612a426a0eee
